# R2: preconditioner improvement vs flowed topological charge (16^4 Iwasaki b2.6).
# |Q| = |flowed Q_5Li at tau~2| (integer plateau); speedup = CGNE D_W / (method) D_W.
# M0 = Omega^dag F Omega (D_W-free). M1 = leading D_W correction (total D_W = 2 Ls iters, not D_W-free).
# cols: |Q|   M0_speedup   config   Q_signed   plaq(orig)   M1_speedup
8   2.47   ckpoint_lat.80    -8   0.670215   3.37
7   2.32   ckpoint_lat.120   -7   0.670603   3.22
6   5.17   ckpoint_lat.160   -6   0.670736   4.42
6   5.24   ckpoint_lat.440   -6   0.671062   4.44
6   2.48   ckpoint_lat.480   -6   0.671231   3.44
4   4.61   ckpoint_lat.200   -4   0.670351   3.91
3   5.46   ckpoint_lat.240   -3   0.671162   4.69
3   6.66   ckpoint_lat.280   -3   0.670610   5.76
3   5.25   ckpoint_lat.320   -3   0.670297   4.49
3   4.80   ckpoint_lat.360   -3   0.671085   4.10
3   4.88   ckpoint_lat.400   -3   0.670768   4.18
